date,calibration_number,fstd,known_isoprene,cps_number,cps,
6/26/2015,1,19.7,111.7371542,1,29134,
6/26/2015,1,19.7,111.7371542,2,29304,
6/26/2015,1,19.7,111.7371542,3,29273,
6/26/2015,1,19.7,111.7371542,4,29262,
6/26/2015,1,19.7,111.7371542,5,29494,
6/26/2015,1,10,56.71936759,1,16581,
6/26/2015,1,10,56.71936759,2,16994,
6/26/2015,1,10,56.71936759,3,16694,
6/26/2015,1,10,56.71936759,4,16915,
6/26/2015,1,10,56.71936759,5,16500,
6/26/2015,1,5,28.35968379,1,9592,
6/26/2015,1,5,28.35968379,2,9703,
6/26/2015,1,5,28.35968379,3,9458,
6/26/2015,1,5,28.35968379,4,9468,
6/26/2015,1,5,28.35968379,5,9682,
6/26/2015,1,0.3,1.701581028,1,2800,
6/26/2015,1,0.3,1.701581028,2,2717,
6/26/2015,1,0.3,1.701581028,3,2623,
6/26/2015,1,0.3,1.701581028,4,2706,
6/26/2015,1,0.3,1.701581028,5,2775,
6/26/2015,2,19.7,111.7371542,1,33684,
6/26/2015,2,19.7,111.7371542,2,33753,
6/26/2015,2,19.7,111.7371542,3,33420,
6/26/2015,2,19.7,111.7371542,4,33227,
6/26/2015,2,19.7,111.7371542,5,33183,
6/26/2015,2,10,56.71936759,1,18860,
6/26/2015,2,10,56.71936759,2,18876,
6/26/2015,2,10,56.71936759,3,18904,
6/26/2015,2,10,56.71936759,4,18841,
6/26/2015,2,10,56.71936759,5,19379,
6/26/2015,2,5,28.35968379,1,11704,
6/26/2015,2,5,28.35968379,2,11730,
6/26/2015,2,5,28.35968379,3,11936,
6/26/2015,2,5,28.35968379,4,12027,
6/26/2015,2,5,28.35968379,5,11599,
6/26/2015,2,0.3,1.701581028,1,4953,
6/26/2015,2,0.3,1.701581028,2,4658,
6/26/2015,2,0.3,1.701581028,3,5079,
6/26/2015,2,0.3,1.701581028,4,4955,
6/26/2015,2,0.3,1.701581028,5,5216,
6/26/2015,3,19.7,111.7371542,1,35042,
6/26/2015,3,19.7,111.7371542,2,35085,
6/26/2015,3,19.7,111.7371542,3,34903,
6/26/2015,3,19.7,111.7371542,4,34740,
6/26/2015,3,19.7,111.7371542,5,34944,
6/26/2015,3,10,56.71936759,1,20343,
6/26/2015,3,10,56.71936759,2,20463,
6/26/2015,3,10,56.71936759,3,20267,
6/26/2015,3,10,56.71936759,4,20427,
6/26/2015,3,10,56.71936759,5,20671,
6/26/2015,3,5,28.35968379,1,13702,
6/26/2015,3,5,28.35968379,2,12838,
6/26/2015,3,5,28.35968379,3,12250,
6/26/2015,3,5,28.35968379,4,12341,
6/26/2015,3,5,28.35968379,5,12540,
6/26/2015,3,0.3,1.701581028,1,5524,
6/26/2015,3,0.3,1.701581028,2,5764,
6/26/2015,3,0.3,1.701581028,3,5471,
6/26/2015,3,0.3,1.701581028,4,5809,
6/26/2015,3,0.3,1.701581028,5,5813,
6/26/2015,4,19.7,111.7371542,1,35326,
6/26/2015,4,19.7,111.7371542,2,34926,
6/26/2015,4,19.7,111.7371542,3,34948,
6/26/2015,4,19.7,111.7371542,4,34224,
6/26/2015,4,19.7,111.7371542,5,34714,
6/26/2015,4,10,56.71936759,1,20062,
6/26/2015,4,10,56.71936759,2,19966,
6/26/2015,4,10,56.71936759,3,19941,
6/26/2015,4,10,56.71936759,4,19559,
6/26/2015,4,10,56.71936759,5,19745,
6/26/2015,4,5,28.35968379,1,11550,
6/26/2015,4,5,28.35968379,2,11407,
6/26/2015,4,5,28.35968379,3,11345,
6/26/2015,4,5,28.35968379,4,11535,
6/26/2015,4,5,28.35968379,5,12031,
6/26/2015,4,0.3,1.701581028,1,4744,
6/26/2015,4,0.3,1.701581028,2,4886,
6/26/2015,4,0.3,1.701581028,3,4866,
6/26/2015,4,0.3,1.701581028,4,4560,
6/26/2015,4,0.3,1.701581028,5,4524,
