tree,genotype,state,month,day,year,date,vcmax,jmax,amax,conductance,transpiration
A02,199-586,WA/OK,may,22,2013,5/22/2013,80.94622857,149.8176863,18.19452808,0.37553479,0.010031672
A05,309-74,WA/Europe,may,22,2013,5/22/2013,59.88552032,130.0576125,11.52594009,0.156886668,0.005589856
B09,DN-34,Euro-Americana/Euro-Americana,may,22,2013,5/22/2013,67.39,160.79,13.46341315,0.204086559,0.006240762
C05,49-177A,WA/TX,may,22,2013,5/22/2013,16.556766,42.69371214,2.823664278,0.034479476,0.001706114
C19,50-194,WA/IL,may,22,2013,5/22/2013,38.18,88.25,5.217120875,0.170151927,0.00503901
D09,199-586,WA/OK,may,22,2013,5/22/2013,60.40866853,116.8083369,7.823582951,0.07361363,0.002823157
D17,50-194,WA/IL,may,22,2013,5/22/2013,43.69103285,104.4916464,6.983963885,0.080194626,0.003584115
E10,57-276,WA/MO,may,22,2013,5/22/2013,68.63443581,156.3879984,11.7369573,0.138409983,0.005550948
F15,R-270,Unknown/Europe,may,22,2013,5/22/2013,78.71641257,144.678023,17.7606148,0.370510071,0.010392825
G01,49-177A,WA/TX,may,22,2013,5/22/2013,29.57792399,91.30089209,4.953236506,0.053304394,0.001937977
G12,DN-34,Euro-Americana/Euro-Americana,may,22,2013,5/22/2013,58.50754905,146.2284992,11.2981878,0.15854738,0.005750384
G18,57-276,WA/MO,may,22,2013,5/22/2013,27.1877381,70.72556593,3.639921819,0.035040019,0.001660104
H11,309-74,WA/Europe,may,22,2013,5/22/2013,49.30639601,113.9152006,8.182809246,0.093303106,0.004276082
H17,49-177,WA/TX,may,22,2013,5/22/2013,94.06582708,189.3231752,19.4114868,0.332873766,0.009524286
A18,R-270,Unknown/Europe,june,25,2013,6/25/2013,77.97366491,107.4697836,,,
B09,DN-34,Euro-Americana/Euro-Americana,june,25,2013,6/25/2013,77.7381686,100.2856073,,,
B19,49-177,WA/TX,june,25,2013,6/25/2013,60.55660625,99.61973391,,,
C19,50-194,WA/IL,june,25,2013,6/25/2013,73.28738012,93.41695253,,,
E03,57-276,WA/MO,june,25,2013,6/25/2013,93.15085573,110.4230083,,,
A12,49-177,WA/TX,june,26,2013,6/26/2013,64.42519991,93.48599669,,,
B16,311-93,WA/Europe,june,26,2013,6/26/2013,94.089991,124.9562778,,,
C14,R-270,Unknown/Europe,june,26,2013,6/26/2013,55.4925981,93.74424103,,,
C15,49-177A,WA/TX,june,26,2013,6/26/2013,80.12407269,111.0370735,,,
C16,309-74,WA/Europe,june,26,2013,6/26/2013,72.24229199,108.9575521,,,
D09,199-586,WA/OK,june,26,2013,6/26/2013,68.65702544,94.98346161,,,
D11,49-177,WA/TX,june,26,2013,6/26/2013,74.94561654,109.9297797,,,
F03,180-372,WA/MN,june,26,2013,6/26/2013,72.45254402,98.76913198,,,
F04,49-177,WA/TX,june,26,2013,6/26/2013,76.39462112,113.642589,,,
F05,57-276,WA/MO,june,26,2013,6/26/2013,56.1832908,75.35317752,,,
F15,R-270,Unknown/Europe,june,26,2013,6/26/2013,49.6109264,74.5833666,,,
G08,309-74,WA/Europe,june,26,2013,6/26/2013,66.37416807,88.37642786,,,
G11,R-270,Unknown/Europe,june,26,2013,6/26/2013,55.50757395,86.12197797,,,
J05,DN-34,Euro-Americana/Euro-Americana,june,26,2013,6/26/2013,61.05310349,86.11867231,,,
A18,R-270,Unknown/Europe,july,10,2013,7/10/2013,80.76605102,96.02396872,,,
B05,R-270,Unknown/Europe,july,10,2013,7/10/2013,95.73514352,123.0057601,,,
B11,180-372,WA/MN,july,10,2013,7/10/2013,81.56425608,126.2715385,,,
D05,199-586,WA/OK,july,10,2013,7/10/2013,81.27761038,117.7881367,,,
D14,49-177,WA/TX,july,10,2013,7/10/2013,75.71099395,98.63040103,,,
F05,57-276,WA/MO,july,10,2013,7/10/2013,85.99782842,117.966609,,,
F11,DN-34,Euro-Americana/Euro-Americana,july,10,2013,7/10/2013,61.41265535,124.8582319,,,
G06,49-177A,WA/TX,july,10,2013,7/10/2013,106.444216,185.6849978,,,
G12,DN-34,Euro-Americana/Euro-Americana,july,10,2013,7/10/2013,81.87868718,116.3425492,,,
H08,180-372,WA/MN,july,10,2013,7/10/2013,65.92982551,102.7037789,,,
J08,311-93,WA/Europe,july,10,2013,7/10/2013,108.823607,163.0302724,,,
C19,50-194,WA/IL,july,11,2013,7/11/2013,93.63134331,138.3080255,,,
E19,DN-34,Euro-Americana/Euro-Americana,july,11,2013,7/11/2013,65.49076539,137.5695108,,,
H17,49-177,WA/TX,july,11,2013,7/11/2013,57.7730403,113.0379565,,,
E14,180-372,WA/MN,july,12,2013,7/12/2013,86.78370344,143.7564515,,,
F12,49-177A,WA/TX,july,12,2013,7/12/2013,95.57062261,183.1791459,,,
J11,311-93,WA/Europe,july,12,2013,7/12/2013,105.0526566,201.3495099,,,
A02,199-586,WA/OK,august,1,2013,8/1/2013,118.2444363,190.0303352,,,
A07,R-270,Unknown/Europe,august,1,2013,8/1/2013,89.97250399,131.4187798,,,
A12,49-177,WA/TX,august,1,2013,8/1/2013,96.25323824,145.8383101,,,
A14,DN-34,Euro-Americana/Euro-Americana,august,1,2013,8/1/2013,103.6740091,165.1331431,,,
A18,R-270,Unknown/Europe,august,1,2013,8/1/2013,87.25813688,94.45128511,,,
A19,199-586,WA/OK,august,1,2013,8/1/2013,71.04855824,101.6047522,,,
B01,180-372,WA/MN,august,1,2013,8/1/2013,100.9764577,157.2859449,,,
C05,49-177A,WA/TX,august,1,2013,8/1/2013,107.3704307,172.3985321,,,
C08,DN-34,Euro-Americana/Euro-Americana,august,1,2013,8/1/2013,94.94743331,100.3910756,,,
C18,49-177A,WA/TX,august,1,2013,8/1/2013,114.8887879,195.2785288,,,
D17,50-194,WA/IL,august,1,2013,8/1/2013,117.4008093,173.4512969,,,
D18,311-93,WA/Europe,august,1,2013,8/1/2013,91.74566849,141.6928358,,,
E10,57-276,WA/MO,august,1,2013,8/1/2013,111.2575998,175.5216033,,,
G14,57-276,WA/MO,august,1,2013,8/1/2013,126.6848188,182.2145719,,,
G16,50-194,WA/IL,august,1,2013,8/1/2013,110.809466,157.302978,,,
H14,309-74,WA/Europe,august,1,2013,8/1/2013,118.4132314,189.8611797,,,
G05A,311-93,WA/Europe,august,2,2013,8/2/2013,64.33995813,129.6838857,,,
E19,DN-34,Euro-Americana/Euro-Americana,august,3,2013,8/3/2013,86.07073318,133.6868194,,,
F03,180-372,WA/MN,august,3,2013,8/3/2013,96.58573897,151.9607672,,,
F04,49-177,WA/TX,august,3,2013,8/3/2013,106.7195397,160.0588822,,,
G05,311-93,WA/Europe,august,3,2013,8/3/2013,84.15152835,119.4325396,,,
H08,180-372,WA/MN,august,3,2013,8/3/2013,69.35786496,130.9743292,,,
H10,49-177A,WA/TX,august,3,2013,8/3/2013,96.70388794,160.5680197,,,
H17,49-177,WA/TX,august,3,2013,8/3/2013,59.05000796,115.8052208,,,
I04,309-74,WA/Europe,august,3,2013,8/3/2013,88.81116694,126.8386048,,,
I06,57-276,WA/MO,august,3,2013,8/3/2013,40.13086621,115.2773406,,,
