tree,genotype,2013_biomass,state
C18,49-177,103,WA/TX
B19,49-177,200,WA/TX
G01,49-177,282,WA/TX
D08,49-177,284,WA/TX
B04,49-177,315,WA/TX
C02,49-177,316,WA/TX
C03,49-177,338,WA/TX
G07,49-177,408,WA/TX
C10,49-177,463,WA/TX
G06,49-177,538,WA/TX
F04,49-177,557,WA/TX
D14,49-177,423,WA/TX
F13,49-177,389,WA/TX
H17,49-177,399,WA/TX
D02,49-177,342,WA/TX
D11,49-177,559,WA/TX
A12,49-177,347,WA/TX
D10,49-177,508,WA/TX
C15,49-177,359,WA/TX
H15,49-177,486,WA/TX
E09,49-177,479,WA/TX
F12,49-177,817,WA/TX
C05,49-177,410,WA/TX
H10,49-177,292,WA/TX
D17,50-194,145,WA/IL
A09,50-194,169,WA/IL
G16,50-194,144,WA/IL
A13,50-194,284,WA/IL
I05,50-194,439,WA/IL
A03,50-194,100,WA/IL
F07,50-194,252,WA/IL
C19,50-194,194,WA/IL
B13,50-194,365,WA/IL
F09,50-194,302,WA/IL
E02,50-194,409,WA/IL
B08,57-276,224,WA/MO
B12,57-276,252,WA/MO
E03,57-276,259,WA/MO
H09,57-276,332,WA/MO
E10,57-276,396,WA/MO
G14,57-276,532,WA/MO
G18,57-276,163,WA/MO
F05,57-276,405,WA/MO
A01,57-276,242,WA/MO
F16,57-276,308,WA/MO
F08,57-276,264,WA/MO
F19,180-372,103,WA/MN
B11,180-372,183,WA/MN
C11,180-372,251,WA/MN
E14,180-372,270,WA/MN
E13,180-372,332,WA/MN
H04,180-372,346,WA/MN
C17,199-586,226,WA/OK
D04,199-586,254,WA/OK
A02,199-586,208,WA/OK
D05,199-586,308,WA/OK
B15,199-586,214,WA/OK
D09,199-586,326,WA/OK
A10,199-586,174,WA/OK
A19,199-586,167,WA/OK
F01,199-586,252,WA/OK
D06,199-586,365,WA/OK
I12,199-586,339,WA/OK
D15,199-586,314,WA/OK
E18,180-372,80,WA/MN
E16,180-372,149,WA/MN
H08,180-372,202,WA/MN
B01,180-372,259,WA/MN
D12,180-372,200,WA/MN
F03,180-372,329,WA/MN
G10,180-372,368,WA/MN
